=== Phase 3: MONAI Spleen Segmentation Training ===
Device: cpu
/home/vboxuser/cv-project/monai-env/lib/python3.14/site-packages/monai/utils/deprecate_utils.py:320: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
Training cases: 33  |  Validation cases: 8
  epoch 4/50  step 19/33  loss=0.5150
  epoch 4/50  step 20/33  loss=0.6103
  epoch 4/50  step 21/33  loss=0.5201
  epoch 4/50  step 22/33  loss=0.6113
  epoch 4/50  step 23/33  loss=0.5371
  epoch 4/50  step 24/33  loss=0.5691
  epoch 4/50  step 25/33  loss=0.4783
  epoch 4/50  step 26/33  loss=0.5835
  epoch 4/50  step 27/33  loss=0.5424
  epoch 4/50  step 28/33  loss=0.5479
  epoch 4/50  step 29/33  loss=0.5063
  epoch 4/50  step 30/33  loss=0.6083
  epoch 4/50  step 31/33  loss=0.6101
  epoch 4/50  step 32/33  loss=0.5298
  epoch 4/50  step 33/33  loss=0.6092
Epoch 4 average loss: 0.5719  (94.0s)
Epoch 4 validation mean Dice: 0.0712
  -> New best model saved (Dice: 0.0712)
  epoch 5/50  step 1/33  loss=0.5369
  epoch 5/50  step 2/33  loss=0.5819
  epoch 5/50  step 3/33  loss=0.5720
  epoch 5/50  step 4/33  loss=0.6055
  epoch 5/50  step 5/33  loss=0.4791
  epoch 5/50  step 6/33  loss=0.5364
  epoch 5/50  step 7/33  loss=0.6068
  epoch 5/50  step 8/33  loss=0.6069
  epoch 5/50  step 9/33  loss=0.5031
  epoch 5/50  step 10/33  loss=0.6065
  epoch 5/50  step 11/33  loss=0.6056
  epoch 5/50  step 12/33  loss=0.5549
  epoch 5/50  step 13/33  loss=0.5756
  epoch 5/50  step 14/33  loss=0.5574
  epoch 5/50  step 15/33  loss=0.5319
  epoch 5/50  step 16/33  loss=0.4735
  epoch 5/50  step 17/33  loss=0.6044
  epoch 5/50  step 18/33  loss=0.6005
  epoch 5/50  step 19/33  loss=0.5264
  epoch 5/50  step 20/33  loss=0.5585
  epoch 5/50  step 21/33  loss=0.6049
  epoch 5/50  step 22/33  loss=0.6034
  epoch 5/50  step 23/33  loss=0.6033
  epoch 5/50  step 24/33  loss=0.5138
  epoch 5/50  step 25/33  loss=0.5210
  epoch 5/50  step 26/33  loss=0.5321
  epoch 5/50  step 27/33  loss=0.4633
  epoch 5/50  step 28/33  loss=0.6026
  epoch 5/50  step 29/33  loss=0.6018
  epoch 5/50  step 30/33  loss=0.6022
  epoch 5/50  step 31/33  loss=0.5064
  epoch 5/50  step 32/33  loss=0.4731
  epoch 5/50  step 33/33  loss=0.5326
Epoch 5 average loss: 0.5571  (91.2s)
Epoch 5 validation mean Dice: 0.0733
  -> New best model saved (Dice: 0.0733)
  epoch 6/50  step 1/33  loss=0.6014
  epoch 6/50  step 2/33  loss=0.6013
  epoch 6/50  step 3/33  loss=0.6004
  epoch 6/50  step 4/33  loss=0.6015
  epoch 6/50  step 5/33  loss=0.5487
  epoch 6/50  step 6/33  loss=0.5487
  epoch 6/50  step 7/33  loss=0.6006
  epoch 6/50  step 8/33  loss=0.5999
  epoch 6/50  step 9/33  loss=0.5019
  epoch 6/50  step 10/33  loss=0.5993
  epoch 6/50  step 11/33  loss=0.5232
  epoch 6/50  step 12/33  loss=0.5982
  epoch 6/50  step 13/33  loss=0.5994
  epoch 6/50  step 14/33  loss=0.5687
  epoch 6/50  step 15/33  loss=0.5987
  epoch 6/50  step 16/33  loss=0.5014
  epoch 6/50  step 17/33  loss=0.5573
  epoch 6/50  step 18/33  loss=0.5798
  epoch 6/50  step 19/33  loss=0.5975
  epoch 6/50  step 20/33  loss=0.4837
  epoch 6/50  step 21/33  loss=0.5967
  epoch 6/50  step 22/33  loss=0.4906
  epoch 6/50  step 23/33  loss=0.5971
  epoch 6/50  step 24/33  loss=0.5021
  epoch 6/50  step 25/33  loss=0.5962
  epoch 6/50  step 26/33  loss=0.5956
  epoch 6/50  step 27/33  loss=0.5951
  epoch 6/50  step 28/33  loss=0.5772
  epoch 6/50  step 29/33  loss=0.5246
  epoch 6/50  step 30/33  loss=0.5951
  epoch 6/50  step 31/33  loss=0.4572
  epoch 6/50  step 32/33  loss=0.4899
  epoch 6/50  step 33/33  loss=0.5002
Epoch 6 average loss: 0.5615  (94.8s)
Epoch 6 validation mean Dice: 0.0845
  -> New best model saved (Dice: 0.0845)
  epoch 7/50  step 1/33  loss=0.5017
  epoch 7/50  step 2/33  loss=0.5453
  epoch 7/50  step 3/33  loss=0.5944
  epoch 7/50  step 4/33  loss=0.5335
  epoch 7/50  step 5/33  loss=0.5949
  epoch 7/50  step 6/33  loss=0.5949
  epoch 7/50  step 7/33  loss=0.5311
  epoch 7/50  step 8/33  loss=0.5527
  epoch 7/50  step 9/33  loss=0.5941
  epoch 7/50  step 10/33  loss=0.5198
  epoch 7/50  step 11/33  loss=0.4734
  epoch 7/50  step 12/33  loss=0.5040
  epoch 7/50  step 13/33  loss=0.5923
  epoch 7/50  step 14/33  loss=0.4651
  epoch 7/50  step 15/33  loss=0.5529
  epoch 7/50  step 16/33  loss=0.4838
  epoch 7/50  step 17/33  loss=0.5696
  epoch 7/50  step 18/33  loss=0.5927
  epoch 7/50  step 19/33  loss=0.5905
  epoch 7/50  step 20/33  loss=0.4988
  epoch 7/50  step 21/33  loss=0.5083
  epoch 7/50  step 22/33  loss=0.4935
  epoch 7/50  step 23/33  loss=0.5133
  epoch 7/50  step 24/33  loss=0.5911
  epoch 7/50  step 25/33  loss=0.4671
  epoch 7/50  step 26/33  loss=0.5898
  epoch 7/50  step 27/33  loss=0.5573
  epoch 7/50  step 28/33  loss=0.5912
  epoch 7/50  step 29/33  loss=0.5866
  epoch 7/50  step 30/33  loss=0.5017
  epoch 7/50  step 31/33  loss=0.4959
  epoch 7/50  step 32/33  loss=0.5892
  epoch 7/50  step 33/33  loss=0.5889
Epoch 7 average loss: 0.5442  (87.4s)
Epoch 7 validation mean Dice: 0.1057
  -> New best model saved (Dice: 0.1057)
  epoch 8/50  step 1/33  loss=0.5087
  epoch 8/50  step 2/33  loss=0.5045
  epoch 8/50  step 3/33  loss=0.5881
  epoch 8/50  step 4/33  loss=0.5881
  epoch 8/50  step 5/33  loss=0.5877
  epoch 8/50  step 6/33  loss=0.5852
  epoch 8/50  step 7/33  loss=0.4266
  epoch 8/50  step 8/33  loss=0.5405
  epoch 8/50  step 9/33  loss=0.4639
  epoch 8/50  step 10/33  loss=0.5856
  epoch 8/50  step 11/33  loss=0.5856
  epoch 8/50  step 12/33  loss=0.4986
  epoch 8/50  step 13/33  loss=0.5532
  epoch 8/50  step 14/33  loss=0.5844
  epoch 8/50  step 15/33  loss=0.4843
  epoch 8/50  step 16/33  loss=0.5194
  epoch 8/50  step 17/33  loss=0.4543
  epoch 8/50  step 18/33  loss=0.4915
  epoch 8/50  step 19/33  loss=0.5421
  epoch 8/50  step 20/33  loss=0.4748
  epoch 8/50  step 21/33  loss=0.5860
  epoch 8/50  step 22/33  loss=0.5845
  epoch 8/50  step 23/33  loss=0.5866
  epoch 8/50  step 24/33  loss=0.4735
  epoch 8/50  step 25/33  loss=0.4779
  epoch 8/50  step 26/33  loss=0.5850
  epoch 8/50  step 27/33  loss=0.4227
  epoch 8/50  step 28/33  loss=0.5843
  epoch 8/50  step 29/33  loss=0.4486
  epoch 8/50  step 30/33  loss=0.3944
  epoch 8/50  step 31/33  loss=0.5836
  epoch 8/50  step 32/33  loss=0.5834
  epoch 8/50  step 33/33  loss=0.4623
Epoch 8 average loss: 0.5255  (88.7s)
Epoch 8 validation mean Dice: 0.1027
  epoch 9/50  step 1/33  loss=0.5824
  epoch 9/50  step 2/33  loss=0.5303
  epoch 9/50  step 3/33  loss=0.4737
  epoch 9/50  step 4/33  loss=0.5834
  epoch 9/50  step 5/33  loss=0.5817
  epoch 9/50  step 6/33  loss=0.4325
  epoch 9/50  step 7/33  loss=0.4759
  epoch 9/50  step 8/33  loss=0.5808
  epoch 9/50  step 9/33  loss=0.4390
  epoch 9/50  step 10/33  loss=0.5139
  epoch 9/50  step 11/33  loss=0.5821
  epoch 9/50  step 12/33  loss=0.5744
  epoch 9/50  step 13/33  loss=0.5478
  epoch 9/50  step 14/33  loss=0.4522
  epoch 9/50  step 15/33  loss=0.4777
  epoch 9/50  step 16/33  loss=0.5814
  epoch 9/50  step 17/33  loss=0.5310
  epoch 9/50  step 18/33  loss=0.5232
  epoch 9/50  step 19/33  loss=0.4399
  epoch 9/50  step 20/33  loss=0.5425
  epoch 9/50  step 21/33  loss=0.4240
  epoch 9/50  step 22/33  loss=0.4363
  epoch 9/50  step 23/33  loss=0.5771
  epoch 9/50  step 24/33  loss=0.4763
  epoch 9/50  step 25/33  loss=0.4328
  epoch 9/50  step 26/33  loss=0.5769
  epoch 9/50  step 27/33  loss=0.4685
  epoch 9/50  step 28/33  loss=0.5762
  epoch 9/50  step 29/33  loss=0.3861
  epoch 9/50  step 30/33  loss=0.4936
  epoch 9/50  step 31/33  loss=0.4469
  epoch 9/50  step 32/33  loss=0.5002
  epoch 9/50  step 33/33  loss=0.5758
Epoch 9 average loss: 0.5096  (84.4s)
Epoch 9 validation mean Dice: 0.1080
  -> New best model saved (Dice: 0.1080)
  epoch 10/50  step 1/33  loss=0.5755
  epoch 10/50  step 2/33  loss=0.5682
  epoch 10/50  step 3/33  loss=0.5749
  epoch 10/50  step 4/33  loss=0.3958
  epoch 10/50  step 5/33  loss=0.4027
  epoch 10/50  step 6/33  loss=0.4250
  epoch 10/50  step 7/33  loss=0.5755
  epoch 10/50  step 8/33  loss=0.4454
  epoch 10/50  step 9/33  loss=0.5753
  epoch 10/50  step 10/33  loss=0.4802
  epoch 10/50  step 11/33  loss=0.5758
  epoch 10/50  step 12/33  loss=0.4419
  epoch 10/50  step 13/33  loss=0.5754
  epoch 10/50  step 14/33  loss=0.5762
  epoch 10/50  step 15/33  loss=0.5699
  epoch 10/50  step 16/33  loss=0.5732
  epoch 10/50  step 17/33  loss=0.5716
  epoch 10/50  step 18/33  loss=0.4244
  epoch 10/50  step 19/33  loss=0.5716
  epoch 10/50  step 20/33  loss=0.5075
  epoch 10/50  step 21/33  loss=0.5024
  epoch 10/50  step 22/33  loss=0.4084
  epoch 10/50  step 23/33  loss=0.3773
  epoch 10/50  step 24/33  loss=0.5713
  epoch 10/50  step 25/33  loss=0.5687
  epoch 10/50  step 26/33  loss=0.4909
  epoch 10/50  step 27/33  loss=0.5699
  epoch 10/50  step 28/33  loss=0.4444
  epoch 10/50  step 29/33  loss=0.4780
  epoch 10/50  step 30/33  loss=0.4072
  epoch 10/50  step 31/33  loss=0.4686
  epoch 10/50  step 32/33  loss=0.5683
  epoch 10/50  step 33/33  loss=0.5076
Epoch 10 average loss: 0.5082  (89.6s)
Epoch 10 validation mean Dice: 0.1242
  -> New best model saved (Dice: 0.1242)
  epoch 11/50  step 1/33  loss=0.4400
  epoch 11/50  step 2/33  loss=0.5725
  epoch 11/50  step 3/33  loss=0.5694
  epoch 11/50  step 4/33  loss=0.5050
  epoch 11/50  step 5/33  loss=0.4301
  epoch 11/50  step 6/33  loss=0.5705
  epoch 11/50  step 7/33  loss=0.4223
  epoch 11/50  step 8/33  loss=0.4859
  epoch 11/50  step 9/33  loss=0.3908
  epoch 11/50  step 10/33  loss=0.4800
  epoch 11/50  step 11/33  loss=0.5618
  epoch 11/50  step 12/33  loss=0.5063
  epoch 11/50  step 13/33  loss=0.5237
  epoch 11/50  step 14/33  loss=0.3992
  epoch 11/50  step 15/33  loss=0.3517
  epoch 11/50  step 16/33  loss=0.4452
  epoch 11/50  step 17/33  loss=0.5640
  epoch 11/50  step 18/33  loss=0.4123
  epoch 11/50  step 19/33  loss=0.4816
  epoch 11/50  step 20/33  loss=0.5647
  epoch 11/50  step 21/33  loss=0.4317
  epoch 11/50  step 22/33  loss=0.4720
  epoch 11/50  step 23/33  loss=0.4339
  epoch 11/50  step 24/33  loss=0.3914
  epoch 11/50  step 25/33  loss=0.5646
  epoch 11/50  step 26/33  loss=0.4630
  epoch 11/50  step 27/33  loss=0.3886
  epoch 11/50  step 28/33  loss=0.4296
  epoch 11/50  step 29/33  loss=0.4697
  epoch 11/50  step 30/33  loss=0.5637
  epoch 11/50  step 31/33  loss=0.4184
  epoch 11/50  step 32/33  loss=0.4206
  epoch 11/50  step 33/33  loss=0.4606
Epoch 11 average loss: 0.4723  (84.7s)
Epoch 11 validation mean Dice: 0.1188
  epoch 12/50  step 1/33  loss=0.5653
  epoch 12/50  step 2/33  loss=0.3383
  epoch 12/50  step 3/33  loss=0.5686
  epoch 12/50  step 4/33  loss=0.5564
  epoch 12/50  step 5/33  loss=0.4953
  epoch 12/50  step 6/33  loss=0.3891
  epoch 12/50  step 7/33  loss=0.4530
  epoch 12/50  step 8/33  loss=0.5616
  epoch 12/50  step 9/33  loss=0.3667
  epoch 12/50  step 10/33  loss=0.5633
  epoch 12/50  step 11/33  loss=0.5590
  epoch 12/50  step 12/33  loss=0.3717
  epoch 12/50  step 13/33  loss=0.4953
  epoch 12/50  step 14/33  loss=0.5576
  epoch 12/50  step 15/33  loss=0.5605
  epoch 12/50  step 16/33  loss=0.4143
  epoch 12/50  step 17/33  loss=0.3744
  epoch 12/50  step 18/33  loss=0.4189
  epoch 12/50  step 19/33  loss=0.5226
  epoch 12/50  step 20/33  loss=0.5613
  epoch 12/50  step 21/33  loss=0.4189
  epoch 12/50  step 22/33  loss=0.5601
  epoch 12/50  step 23/33  loss=0.5555
  epoch 12/50  step 24/33  loss=0.4523
  epoch 12/50  step 25/33  loss=0.5591
  epoch 12/50  step 26/33  loss=0.5269
  epoch 12/50  step 27/33  loss=0.3904
  epoch 12/50  step 28/33  loss=0.4606
  epoch 12/50  step 29/33  loss=0.4463
  epoch 12/50  step 30/33  loss=0.4642
  epoch 12/50  step 31/33  loss=0.4180
  epoch 12/50  step 32/33  loss=0.3720
  epoch 12/50  step 33/33  loss=0.3251
Epoch 12 average loss: 0.4740  (94.7s)
Epoch 12 validation mean Dice: 0.1554
  -> New best model saved (Dice: 0.1554)
  epoch 13/50  step 1/33  loss=0.5556
  epoch 13/50  step 2/33  loss=0.4048
  epoch 13/50  step 3/33  loss=0.3875
  epoch 13/50  step 4/33  loss=0.3501
  epoch 13/50  step 5/33  loss=0.3972
  epoch 13/50  step 6/33  loss=0.5208
  epoch 13/50  step 7/33  loss=0.4092
  epoch 13/50  step 8/33  loss=0.5569
  epoch 13/50  step 9/33  loss=0.4397
  epoch 13/50  step 10/33  loss=0.5560
  epoch 13/50  step 11/33  loss=0.3982
  epoch 13/50  step 12/33  loss=0.2852
  epoch 13/50  step 13/33  loss=0.5576
  epoch 13/50  step 14/33  loss=0.4134
  epoch 13/50  step 15/33  loss=0.3590
  epoch 13/50  step 16/33  loss=0.3473
  epoch 13/50  step 17/33  loss=0.5514
  epoch 13/50  step 18/33  loss=0.3551
  epoch 13/50  step 19/33  loss=0.4739
  epoch 13/50  step 20/33  loss=0.4468
  epoch 13/50  step 21/33  loss=0.3437
  epoch 13/50  step 22/33  loss=0.5129
  epoch 13/50  step 23/33  loss=0.5522
  epoch 13/50  step 24/33  loss=0.3457
  epoch 13/50  step 25/33  loss=0.3668
  epoch 13/50  step 26/33  loss=0.5262
  epoch 13/50  step 27/33  loss=0.5501
  epoch 13/50  step 28/33  loss=0.5556
  epoch 13/50  step 29/33  loss=0.3141
  epoch 13/50  step 30/33  loss=0.4617
  epoch 13/50  step 31/33  loss=0.5480
  epoch 13/50  step 32/33  loss=0.5464
  epoch 13/50  step 33/33  loss=0.3941
Epoch 13 average loss: 0.4480  (95.6s)
Epoch 13 validation mean Dice: 0.1745
  -> New best model saved (Dice: 0.1745)
  epoch 14/50  step 1/33  loss=0.4077
  epoch 14/50  step 2/33  loss=0.2910
  epoch 14/50  step 3/33  loss=0.3706
  epoch 14/50  step 4/33  loss=0.3675
  epoch 14/50  step 5/33  loss=0.4363
  epoch 14/50  step 6/33  loss=0.5227
  epoch 14/50  step 7/33  loss=0.3463
  epoch 14/50  step 8/33  loss=0.3210
  epoch 14/50  step 9/33  loss=0.5493
  epoch 14/50  step 10/33  loss=0.3889
  epoch 14/50  step 11/33  loss=0.5538
  epoch 14/50  step 12/33  loss=0.4775
  epoch 14/50  step 13/33  loss=0.5563
  epoch 14/50  step 14/33  loss=0.5499
  epoch 14/50  step 15/33  loss=0.4670
  epoch 14/50  step 16/33  loss=0.4460
  epoch 14/50  step 17/33  loss=0.4324
  epoch 14/50  step 18/33  loss=0.5079
  epoch 14/50  step 19/33  loss=0.3986
  epoch 14/50  step 20/33  loss=0.5496
  epoch 14/50  step 21/33  loss=0.5534
  epoch 14/50  step 22/33  loss=0.5496
  epoch 14/50  step 23/33  loss=0.3050
  epoch 14/50  step 24/33  loss=0.4676
  epoch 14/50  step 25/33  loss=0.5443
  epoch 14/50  step 26/33  loss=0.5093
  epoch 14/50  step 27/33  loss=0.3875
